,Unnamed: 0.1,Unnamed: 0_left,SEASON_YEAR,PLAYER_ID_left,PLAYER_NAME_left,NICKNAME_left,TEAM_ID_left,TEAM_ABBREVIATION_left,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN_left,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,NET_RANKING,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,Unnamed: 0
0,591,591,2023-24,1629023,P.J. Washington,P.J.,1610612742,DAL,Dallas Mavericks,22301181,2024-04-12T00:00:00,DAL vs. DET,L,14.916666666666666,4,8,0.5,1,3,0.333,0,0,0.0,0,3,3,1,0,1,0,0,0,0,9,-7,17.1,0,0,16.0,1,13252,13252,13252,19391,9679,11049,8954,8460,10539,9124,13417,14233,13417,13449,9403,12548,14131,16035,4430,8529,1,1,17532,12379,19219,14688,2248,138,14655,1,14:55,,1610612742,DAL,Dallas,1629023,P.J. Washington,P.J.,F,,14.000000:55,88.5,87.9,109.5,105.9,-21.0,-18.0,0.125,0.0,11.1,0.0,0.2,0.111,0.0,0.563,0.563,0.242,0.244,105.61,107.8,89.83,33,0.143,15.0
1,850,850,2023-24,1629023,P.J. Washington,P.J.,1610612742,DAL,Dallas Mavericks,22301161,2024-04-10T00:00:00,DAL @ MIA,W,34.71666666666667,5,11,0.455,2,6,0.333,0,1,0.0,1,5,6,2,1,2,1,0,1,1,12,10,30.2,0,0,28.0,1,1,1,1,4041,7292,7189,13083,4439,3921,9124,13417,12641,13417,6495,4442,5291,9909,8468,1349,2720,1,6163,11166,9297,4460,7103,2248,138,7405,1,34:43,,1610612742,DAL,Dallas,1629023,P.J. Washington,P.J.,F,,34.000000:43,125.7,125.4,104.8,109.5,20.9,15.9,0.08,2.0,14.3,0.032,0.132,0.087,7.1,0.545,0.524,0.174,0.174,88.96,87.11,72.59,63,0.093,1.0
2,1164,1164,2023-24,1629023,P.J. Washington,P.J.,1610612742,DAL,Dallas Mavericks,22301144,2024-04-09T00:00:00,DAL @ CHA,W,28.15,0,7,0.0,0,6,0.0,1,2,0.5,2,5,7,3,3,1,0,1,3,1,1,10,13.9,0,0,13.0,1,1,1,1,9479,22557,12577,22557,14651,3921,14651,10099,7481,10591,3105,4442,3886,7003,1850,4430,8529,17336,18879,11166,22915,4460,16835,2248,138,16694,1,28:09,,1610612742,DAL,Dallas,1629023,P.J. Washington,P.J.,F,,28.000000:09,137.2,133.9,120.0,119.0,17.2,14.9,0.103,1.0,21.4,0.077,0.179,0.13,21.4,0.0,0.063,0.162,0.165,98.15,99.75,83.13,59,-0.02,1.0
3,1406,1406,2023-24,1629023,P.J. Washington,P.J.,1610612742,DAL,Dallas Mavericks,22301131,2024-04-07T00:00:00,DAL vs. HOU,W,43.38333333333333,5,12,0.417,2,7,0.286,2,2,1.0,2,11,13,2,0,0,2,1,1,1,14,7,38.6,1,0,35.0,1,1,1,1,154,7292,6130,14849,4439,2715,11375,6103,7481,1,3105,309,500,9909,16035,12108,879,17336,6163,11166,7525,6299,3804,1,138,4374,1,43:23,,1610612742,DAL,Dallas,1629023,P.J. Washington,P.J.,F,,43.000000:23,122.8,126.7,117.0,116.3,5.8,10.4,0.065,0.0,13.3,0.057,0.244,0.163,0.0,0.5,0.543,0.131,0.132,101.95,100.68,83.9,90,0.107,14.0
4,1858,1858,2023-24,1629023,P.J. Washington,P.J.,1610612742,DAL,Dallas Mavericks,22301097,2024-04-05T00:00:00,DAL vs. GSW,W,40.34,12,18,0.667,5,8,0.625,3,5,0.6,0,5,5,3,4,5,2,1,2,3,32,8,59.5,0,0,59.0,1,1,1,1,578,497,1970,3541,458,1806,3078,4235,2911,10302,13449,4442,7149,7003,804,23,879,17336,13042,4295,628,5604,441,2248,138,308,1,40:20,,1610612742,DAL,Dallas,1629023,P.J. Washington,P.J.,F,,40.000000:20,106.2,106.9,97.5,97.7,8.6,9.2,0.13,0.75,11.1,0.0,0.109,0.06,14.8,0.806,0.792,0.25,0.251,103.97,103.52,86.27,87,0.187,13.0
5,1874,1874,2023-24,1629023,P.J. Washington,P.J.,1610612742,DAL,Dallas Mavericks,22301124,2024-04-04T00:00:00,DAL vs. ATL,W,36.153333333333336,6,11,0.545,5,8,0.625,2,2,1.0,1,7,8,3,1,1,1,1,2,3,19,15,38.1,0,0,39.0,1,1,1,1,2847,5451,7189,8074,458,1806,3078,6103,7481,1,6495,1913,2854,7003,8468,4430,2720,17336,13042,4295,4356,2411,3956,2248,138,3091,1,36:09,,1610612742,DAL,Dallas,1629023,P.J. Washington,P.J.,F,,36.000000:09,111.3,111.7,91.0,89.9,20.3,21.8,0.125,3.0,18.8,0.023,0.167,0.094,6.3,0.773,0.8,0.153,0.152,103.11,103.56,86.3,77,0.169,13.0
6,2354,2354,2023-24,1629023,P.J. Washington,P.J.,1610612742,DAL,Dallas Mavericks,22300589,2024-04-02T00:00:00,DAL @ GSW,L,35.693333333333335,8,19,0.421,3,10,0.3,1,2,0.5,0,5,5,0,2,3,1,0,1,2,20,-7,36.0,0,0,36.0,1,13252,13252,13252,3227,2806,1555,14784,2226,684,11273,10099,7481,10591,13449,4442,7149,19657,4132,384,2720,1,6163,6969,3846,19219,4702,2248,138,4037,1,35:42,,1610612742,DAL,Dallas,1629023,P.J. Washington,P.J.,F,,35.000000:42,97.2,97.3,106.6,105.3,-9.3,-7.9,0.0,0.0,0.0,0.0,0.128,0.064,9.5,0.5,0.503,0.253,0.256,100.97,101.53,84.61,75,0.088,1.0
7,2482,2482,2023-24,1629023,P.J. Washington,P.J.,1610612742,DAL,Dallas Mavericks,22301083,2024-03-31T00:00:00,DAL @ HOU,W,28.15,4,8,0.5,3,5,0.6,1,2,0.5,2,4,6,2,0,1,1,0,5,2,12,16,28.2,0,0,27.0,1,1,1,1,9479,9679,11049,8954,2226,5663,3197,10099,7481,10591,3105,6490,5291,9909,16035,4430,2720,1,25189,6969,9297,2126,8088,2248,138,7909,1,28:09,,1610612742,DAL,Dallas,1629023,P.J. Washington,P.J.,F,,28.000000:09,131.9,135.7,100.5,105.3,31.4,30.5,0.08,0.0,18.2,0.074,0.114,0.097,0.0,0.688,0.676,0.138,0.139,100.06,96.34,80.28,56,0.081,1.0
8,3007,3007,2023-24,1629023,P.J. Washington,P.J.,1610612742,DAL,Dallas Mavericks,22301073,2024-03-29T00:00:00,DAL @ SAC,W,33.38333333333333,2,10,0.2,2,8,0.25,1,2,0.5,0,6,6,2,0,1,2,0,2,1,7,-3,26.2,0,0,23.0,1,1,1,1,5105,15517,8327,21471,4439,1806,11776,10099,7481,10591,13449,2880,5291,9909,16035,4430,879,1,13042,11166,14704,15642,9140,2248,138,10143,1,33:23,,1610612742,DAL,Dallas,1629023,P.J. Washington,P.J.,F,,33.000000:23,103.0,103.0,103.1,109.2,-0.2,-6.2,0.087,0.0,15.4,0.0,0.158,0.083,0.0,0.3,0.322,0.155,0.157,96.97,94.18,78.48,66,0.047,1.0
9,3396,3396,2023-24,1629023,P.J. Washington,P.J.,1610612742,DAL,Dallas Mavericks,22301047,2024-03-26T00:00:00,DAL @ SAC,W,32.333333333333336,5,11,0.455,4,6,0.667,0,2,0.0,1,12,13,2,0,0,0,0,2,1,14,25,32.6,1,0,33.0,1,1,1,1,5994,7292,7189,13083,1043,3921,2080,13417,7481,13417,6495,185,500,9909,16035,12108,8529,1,13042,11166,7525,542,5994,1,138,5132,1,32:20,,1610612742,DAL,Dallas,1629023,P.J. Washington,P.J.,F,,32.000000:20,126.2,124.3,90.5,89.9,35.6,34.4,0.071,0.0,14.3,0.029,0.333,0.186,0.0,0.636,0.589,0.158,0.164,102.02,103.18,85.98,70,0.127,1.0
