,Unnamed: 0.1,Unnamed: 0_left,SEASON_YEAR,PLAYER_ID_left,PLAYER_NAME_left,NICKNAME_left,TEAM_ID_left,TEAM_ABBREVIATION_left,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN_left,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,NET_RANKING,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,Unnamed: 0
0,3025,3025,2022-23,200752,Rudy Gay,Rudy,1610612762,UTA,Utah Jazz,22201091,2023-03-22T00:00:00,UTA vs. POR,L,9.546666666666669,2,5,0.4,2,4,0.5,1,2,0.5,0,1,1,1,0,0,0,0,0,1,7,2,9.7,0,0,11.0,1,12947,12947,12947,22224,15467,16006,15218,4226,7558,3861,10510,8080,10976,13272,17626,19709,13459,16367,11790,7930,1,1,11862,14745,9989,19515,2163,120,18113,1,9:33,,1610612762,UTA,Utah,200752,Rudy Gay,Rudy,,,9.000000:33,92.4,87.0,78.0,78.3,14.4,8.7,0.25,0.0,14.3,0.0,0.067,0.037,0.0,0.6,0.595,0.25,0.265,112.42,115.64,96.37,23,0.154,17.0
1,3352,3352,2022-23,200752,Rudy Gay,Rudy,1610612762,UTA,Utah Jazz,22201076,2023-03-20T00:00:00,UTA vs. SAC,W,17.483333333333334,4,11,0.364,0,5,0.0,3,3,1.0,0,3,3,2,0,0,0,0,0,2,11,6,17.6,0,0,16.0,1,1,1,1,17788,9586,7093,17144,14184,5510,14184,4622,6555,1,13272,9404,12567,9342,16367,11790,7930,1,1,7612,10274,6694,14176,2163,120,14513,1,17:29,,1610612762,UTA,Utah,200752,Rudy Gay,Rudy,,,17.000000:29,103.9,105.4,90.9,91.7,13.1,13.7,0.182,0.0,14.3,0.0,0.125,0.068,0.0,0.364,0.446,0.286,0.289,101.36,100.21,83.51,37,0.131,22.0
2,3542,3542,2022-23,200752,Rudy Gay,Rudy,1610612762,UTA,Utah Jazz,22201062,2023-03-18T00:00:00,UTA vs. BOS,W,17.116666666666667,3,7,0.429,3,5,0.6,0,0,0.0,0,1,1,0,2,0,0,0,0,0,9,-13,8.2,0,0,13.0,1,1,1,1,18051,12366,12420,14121,2120,5510,3022,13851,14660,13851,13272,17626,19709,19186,4399,11790,7930,1,1,17928,12345,22762,20467,2163,120,16689,1,17:07,,1610612762,UTA,Utah,200752,Rudy Gay,Rudy,,,17.000000:07,95.4,94.4,132.6,130.6,-37.2,-36.1,0.0,0.0,0.0,0.0,0.077,0.029,22.2,0.643,0.643,0.231,0.239,99.66,100.95,84.13,36,0.046,17.0
3,4440,4440,2022-23,200752,Rudy Gay,Rudy,1610612762,UTA,Utah Jazz,22201022,2023-03-13T00:00:00,UTA @ MIA,L,15.45,3,6,0.5,2,2,1.0,0,0,0.0,0,1,1,2,0,1,1,0,1,0,8,-9,18.2,0,0,17.0,1,12947,12947,12947,19140,12366,14189,9075,4226,13286,1,13851,14660,13851,13272,17626,19709,9342,16367,4306,2381,1,5181,17928,13462,20484,13777,2163,120,13833,1,15:27,,1610612762,UTA,Utah,200752,Rudy Gay,Rudy,,,15.000000:27,121.8,125.0,144.8,140.0,-23.0,-15.0,0.182,0.0,25.0,0.0,0.1,0.042,0.0,0.667,0.667,0.176,0.177,103.58,104.08,86.73,32,0.108,6.0
4,4698,4698,2022-23,200752,Rudy Gay,Rudy,1610612762,UTA,Utah Jazz,22201005,2023-03-11T00:00:00,UTA @ CHA,W,14.466666666666669,2,6,0.333,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,1,1,0,4,-11,4.0,0,0,4.0,1,1,1,1,19774,15467,14189,17586,14184,13286,14184,13851,14660,13851,13272,22091,23082,19186,16367,11790,7930,17468,5181,17928,18472,21730,23027,2163,120,22647,1,14:28,,1610612762,UTA,Utah,200752,Rudy Gay,Rudy,,,14.000000:28,96.6,100.0,142.9,140.0,-46.2,-40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.158,0.162,101.99,101.2,84.33,31,-0.019,6.0
5,4956,4956,2022-23,200752,Rudy Gay,Rudy,1610612762,UTA,Utah Jazz,22200994,2023-03-09T00:00:00,UTA @ ORL,W,12.933333333333334,0,4,0.0,0,2,0.0,1,2,0.5,1,3,4,1,2,0,0,0,3,1,1,-11,5.3,0,0,6.0,1,1,1,1,20639,22559,17860,22559,14184,13286,14184,10510,8080,10976,6448,9404,9590,13459,4399,11790,7930,1,17563,11862,22905,21730,22265,2163,120,21425,1,12:56,,1610612762,UTA,Utah,200752,Rudy Gay,Rudy,,,12.000000:56,97.8,93.5,119.8,125.0,-21.9,-31.5,0.091,0.5,12.5,0.067,0.2,0.133,25.0,0.0,0.102,0.2,0.208,116.98,116.91,97.42,31,-0.08,6.0
6,5297,5297,2022-23,200752,Rudy Gay,Rudy,1610612762,UTA,Utah Jazz,22200983,2023-03-07T00:00:00,UTA @ DAL,L,16.65,4,7,0.571,2,5,0.4,0,0,0.0,1,5,6,4,1,1,1,0,3,1,10,-7,28.2,0,0,26.0,1,12947,12947,12947,18352,9586,12420,7046,4226,5510,7498,13851,14660,13851,6448,4379,5308,4531,8897,4306,2381,1,17563,11862,11243,18993,7764,2163,120,8209,1,16:39,,1610612762,UTA,Utah,200752,Rudy Gay,Rudy,,,16.000000:39,129.1,125.6,148.8,151.4,-19.7,-25.7,0.308,4.0,33.3,0.063,0.313,0.188,8.3,0.714,0.714,0.19,0.205,108.97,109.55,91.29,39,0.13,8.0
7,5552,5552,2022-23,200752,Rudy Gay,Rudy,1610612762,UTA,Utah Jazz,22200968,2023-03-05T00:00:00,UTA @ OKC,L,13.833333333333334,3,5,0.6,0,2,0.0,1,1,1.0,0,3,3,1,1,0,0,0,1,1,7,1,11.1,0,0,11.0,1,12947,12947,12947,20141,12366,16006,5804,14184,13286,14184,10510,13074,1,13272,9404,12567,13459,8897,11790,7930,1,5181,11862,14745,11018,18627,2163,120,18113,1,13:50,,1610612762,UTA,Utah,200752,Rudy Gay,Rudy,,,13.000000:50,116.3,116.1,115.1,116.7,1.1,-0.5,0.111,1.0,14.3,0.0,0.188,0.107,14.3,0.6,0.643,0.182,0.188,106.46,105.83,88.19,31,0.108,6.0
8,5960,5960,2022-23,200752,Rudy Gay,Rudy,1610612762,UTA,Utah Jazz,22200951,2023-03-03T00:00:00,UTA @ OKC,L,16.45,3,7,0.429,1,2,0.5,1,1,1.0,0,3,3,2,2,1,2,0,2,3,8,-7,21.6,0,0,20.0,1,12947,12947,12947,18490,12366,12420,14121,8083,13286,3861,10510,13074,1,13272,9404,12567,9342,4399,4306,751,1,11553,4788,13462,18993,11589,2163,120,11856,1,16:27,,1610612762,UTA,Utah,200752,Rudy Gay,Rudy,,,16.000000:27,95.9,94.7,120.7,119.4,-24.7,-24.7,0.2,1.0,18.2,0.0,0.167,0.088,18.2,0.5,0.538,0.225,0.234,106.74,107.96,89.97,38,0.097,6.0
9,6379,6379,2022-23,200752,Rudy Gay,Rudy,1610612762,UTA,Utah Jazz,22200930,2023-02-28T00:00:00,UTA vs. SAS,L,17.05,1,7,0.143,0,2,0.0,5,5,1.0,2,6,8,2,1,0,1,0,3,2,7,-14,21.6,0,0,19.0,1,12947,12947,12947,18097,18953,12420,22241,14184,13286,14184,2152,3311,1,3077,2868,2807,9342,8897,11790,2381,1,17563,7612,14745,23232,11589,2163,120,12497,1,17:03,,1610612762,UTA,Utah,200752,Rudy Gay,Rudy,,,17.000000:03,80.6,82.1,123.8,124.3,-43.2,-42.3,0.222,2.0,16.7,0.08,0.375,0.195,8.3,0.143,0.38,0.217,0.224,108.22,106.98,89.15,39,0.105,19.0
