,Unnamed: 0,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,NET_RANKING
1312,1312,2011-12,201041,Walker Russell,Walker,1610612765,DET,Detroit Pistons,21100922,2012-04-18T00:00:00,DET @ ATL,L,12.45,5,8,0.625,1,1,1.0,4,4,1.0,1,1,2,1,2,1,0,0,0,3,15,3,19.9,0,0,21.0,1,10395,10395,10395,16822,4708,8206,3280,3298,8528,1,2130,3185,1,5709,13555,12449,9164,3666,3677,6628,1,1,3633,4053,7071,8997,1580,19,7523,,12:27,
1583,1583,2011-12,201041,Walker Russell,Walker,1610612765,DET,Detroit Pistons,21100914,2012-04-17T00:00:00,DET vs. CLE,W,6.716666666666667,1,3,0.333,0,0,0.0,0,0,0.0,0,0,0,2,1,0,0,0,1,0,2,-7,4.0,0,0,4.0,1,1,1,1,18778,14318,15432,12808,7008,11502,7008,10998,11760,10998,10985,17415,18333,6031,7570,9830,6628,1,4088,14687,15996,15493,18259,1580,19,17929,,6:43,
2391,2391,2011-12,201041,Walker Russell,Walker,1610612765,DET,Detroit Pistons,21100880,2012-04-13T00:00:00,DET vs. MIL,L,1.4166666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,-1.0,0,0,0.0,1,10395,10395,10395,20486,17520,19717,17520,7008,11502,7008,10998,11760,10998,10985,17415,18333,13928,7570,9830,6628,1,1,14687,18149,9527,20620,1580,19,20033,,1:25,
2423,2423,2011-12,201041,Walker Russell,Walker,1610612765,DET,Detroit Pistons,21100869,2012-04-12T00:00:00,DET @ CHA,W,4.75,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,0,3,0,0,-10,1.7,0,0,2.0,1,1,1,1,19477,17520,18379,17520,7008,11502,7008,10998,11760,10998,10985,13555,15348,9164,7570,9830,6628,1,14231,14687,18149,17284,19412,1580,19,19046,,4:45,
3049,3049,2011-12,201041,Walker Russell,Walker,1610612765,DET,Detroit Pistons,21100843,2012-04-09T00:00:00,DET @ ORL,L,6.15,2,3,0.667,0,0,0.0,1,3,0.333,0,1,1,1,3,1,0,0,0,1,5,1,7.7,0,0,9.0,1,10395,10395,10395,18974,11426,15432,2131,7008,11502,7008,8210,5301,10604,10985,13555,15348,9164,1628,3677,6628,1,1,9685,12771,8688,16164,1580,19,14911,,6:09,
4451,4451,2011-12,201041,Walker Russell,Walker,1610612765,DET,Detroit Pistons,21100772,2012-03-31T00:00:00,DET vs. CHA,W,7.283333333333333,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,2,-6,2.0,0,0,2.0,1,1,1,1,18617,14318,18379,1,7008,11502,7008,10998,11760,10998,10985,17415,18333,13928,13710,9830,6628,1,4088,14687,15996,14791,19231,1580,19,19046,,7:17,
5727,5727,2011-12,201041,Walker Russell,Walker,1610612765,DET,Detroit Pistons,21100713,2012-03-24T00:00:00,DET @ NYK,L,15.95,0,3,0.0,0,1,0.0,0,0,0.0,0,2,2,4,4,1,0,0,2,1,0,-7,7.4,0,0,8.0,1,10395,10395,10395,15165,17520,15432,17520,7008,8528,7008,10998,11760,10998,10985,9914,12449,2681,661,3677,6628,1,9367,9685,18149,15493,16343,1580,19,15501,,15:57,
8124,8124,2011-12,201041,Walker Russell,Walker,1610612765,DET,Detroit Pistons,21100596,2012-03-10T00:00:00,DET vs. TOR,W,3.3333333333333335,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,-3,0.0,0,0,0.0,1,1,1,1,19932,17520,19717,17520,7008,11502,7008,10998,11760,10998,10985,17415,18333,13928,13710,9830,6628,1,4088,14687,18149,12249,19990,1580,19,20033,,3:20,
9239,9239,2011-12,201041,Walker Russell,Walker,1610612765,DET,Detroit Pistons,21100542,2012-03-03T00:00:00,DET @ MEM,L,1.2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,-2,1.5,0,0,1.0,1,10395,10395,10395,20534,17520,19717,17520,7008,11502,7008,10998,11760,10998,10985,17415,18333,9164,13710,9830,6628,1,1,14687,18149,11400,19442,1580,19,19594,,1:12,
9892,9892,2011-12,201041,Walker Russell,Walker,1610612765,DET,Detroit Pistons,21100517,2012-02-29T00:00:00,DET vs. CHA,W,1.8833333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,4.5,0,0,3.0,1,1,1,1,20358,17520,19717,17520,7008,11502,7008,10998,11760,10998,10985,17415,18333,9164,13710,3677,6628,1,1,14687,18149,9527,17924,1580,19,18498,,1:53,
